angles,magnitudes,activity
0,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,0,running
0,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00.288707,0.551020.266667,0.1904761.73575,-0.8206381.69896,1.413240,08.64762,10.28572.13297,1.061220.631492,0.4495160.655752,0.4667140.0100917,0.01056230.250642,0.211455-0.549718,-0.421180.255181,0.5638220.360825,0.2783512.09483,-1.508111.60262,1.390480,08.71134,10.23711.75173,0.8406840.633537,0.4229890.694411,0.4613480.00865193,0.01050850.297486,0.244642-0.429135,-0.3374780.277642,0.5880270.247619,0.1619051.06702,0.1060341.56816,1.351560,08.72381,10.29522.16181,1.103310.6149,0.419770.688644,0.4650310.0099727,0.01173290.245309,0.185424-0.491106,-0.424220.23856,0.5386150.347368,0.221053-0.187497,1.800491.4964,1.236670,08.68421,10.30532.1108,1.054180.659298,0.4472770.742279,0.5029320.00852837,0.009999970.29088,0.229402-0.425529,-0.420742,running
0,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00.266045,0.3214360.439024,0.1626021.14066,-0.8848072.15579,1.41840,05.7561,11.26834.05433,1.415820.657347,0.5611880.71502,0.5739030.0101839,0.01112580.271895,0.1928-0.527063,-0.5550.25789,0.3089510.424779,0.1858411.13377,-0.8296562.12444,1.401440,05.71681,11.28323.9906,1.335730.676307,0.5667880.733329,0.5964590.0098401,0.01065260.283275,0.208512-0.510599,-0.4806910.317262,0.3580250.196581,0.1111110.864732,0.9526912.07429,1.36160,05.87179,11.1884.11177,1.332160.585549,0.5094850.635219,0.5427550.0120136,0.01229440.186045,0.151487-0.680473,-0.5766910.255702,0.3135540.554545,0.2090910.265971,2.791411.96603,1.304460,05.91818,11.15453.56603,1.130660.665768,0.5460180.743145,0.584620.00896815,0.0102130.320419,0.222676-0.467291,-0.4558351,10,00,01,10,010,100,0-4.34882e-06,-4.34882e-06-4.34882e-06,-4.34882e-060.0153809,0.0153809-4.34882e-06,-4.34882e-06-0,-01,10,00,01,10,010,100,0-4.34882e-06,-4.34882e-06-4.34882e-06,-4.34882e-060.0153809,0.0153809-4.34882e-06,-4.34882e-06-0,-01,10,00,01,10,010,100,0-4.34882e-06,-4.34882e-06-4.34882e-06,-4.34882e-060.0153809,0.0153809-4.34882e-06,-4.34882e-06-0,-01,10,00,01,10,010,100,0-4.34882e-06,-4.34882e-06-4.34882e-06,-4.34882e-060.0153809,0.0153809-4.34882e-06,-4.34882e-06-0,-0,running
0,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00.489555,0.6362680.141104,0.1595091.66303,-0.4703831.30532,1.254510,09.42945,10.36810.993489,0.7111290.425464,0.3269590.457177,0.371830.0124263,0.01156770.161629,0.187689-0.585028,-0.2775080.446993,0.5849320.23871,0.2193551.39126,-0.3383131.31326,1.265140,09.4,10.40.936774,0.7303230.43988,0.3494210.523256,0.4103840.0110442,0.01068780.222658,0.225322-0.434825,-0.2072150.464487,0.6156070.160494,0.1790120.584863,0.999951.2974,1.232590,09.38272,10.41361.03871,0.7980870.444174,0.3394950.500491,0.3962190.0119563,0.01193840.179737,0.184971-0.533514,-0.3279150.443329,0.5994270.227273,0.246753-0.698504,2.525431.26379,1.166010,09.40909,10.37660.943034,0.6243890.4545,0.3411890.518586,0.4061760.0109047,0.01050150.223391,0.237284-0.505656,-0.2238970.988827,0.9888270.0224719,0.02247191.50266,-2.01681.02235,1.022350,07.98876,10.01120.0223457,0.02234570.0150671,0.01506710.0150671,0.01506710.0152063,0.01520630.0150671,0.0150671-0.162385,-0.1623851,10,00,01,10,08,100,0-4.34882e-06,-4.34882e-06-4.34882e-06,-4.34882e-060.0153809,0.0153809-4.34882e-06,-4.34882e-06-0,-00.989071,0.9890710.021978,0.021978-3.29666e+08,4.39568e+081,10,07.98901,10.0110.0218573,0.02185730.0147889,0.01478890.0147889,0.01478890.0152101,0.01521010.0147889,0.01478892915.56,2915.560.988305,0.9883050.0235294,0.02352941.50276,-2.017841.02339,1.023390,07.98824,10.01180.023391,0.0233910.0156587,0.01565870.0156587,0.01565870.0151981,0.01519810.0156587,0.0156587-0.163624,-0.1636241,10,00,01,10,010,100,0-4.34882e-06,-4.34882e-06-4.34882e-06,-4.34882e-060.0153809,0.0153809-4.34882e-06,-4.34882e-06-0,-01,10,00,01,10,010,100,0-4.34882e-06,-4.34882e-06-4.34882e-06,-4.34882e-060.0153809,0.0153809-4.34882e-06,-4.34882e-06-0,-01,10,00,01,10,010,100,0-4.34882e-06,-4.34882e-06-4.34882e-06,-4.34882e-060.0153809,0.0153809-4.34882e-06,-4.34882e-06-0,-01,10,00,01,10,010,100,0-4.34882e-06,-4.34882e-06-4.34882e-06,-4.34882e-060.0153809,0.0153809-4.34882e-06,-4.34882e-06-0,-0,running
0.17519,0.3783380.654867,0.2477880.994008,-0.3108912.48109,1.337540,07.57522,10.86734.79301,1.088570.824563,0.4793210.933568,0.5427420.00896151,0.01089240.323534,0.228541-0.52323,-0.4103270.141861,0.3452730.864078,0.2815530.647969,-0.2080332.57206,1.30540,07.50485,10.84474.61891,0.8884910.850166,0.4844631.00688,0.5575390.00716555,0.009837220.391792,0.259272-0.407093,-0.4317540.178498,0.3695130.444444,0.2685190.534245,0.9372362.39163,1.295180,07.5,10.82414.86111,0.8857170.817031,0.4511240.902741,0.5289690.00902851,0.01052890.299111,0.242082-0.546127,-0.5130170.147328,0.3283060.864078,0.4077670.0449692,1.781792.21991,1.285610,07.60194,10.79614.31728,0.7448390.826671,0.4735591.00356,0.5696910.00690633,0.008968260.41254,0.302333-0.406431,-0.4064961,10,00,01,10,010,100,0-4.34882e-06,-4.34882e-06-4.34882e-06,-4.34882e-060.0153809,0.0153809-4.34882e-06,-4.34882e-06-0,-01,10,00,01,10,010,100,0-4.34882e-06,-4.34882e-06-4.34882e-06,-4.34882e-060.0153809,0.0153809-4.34882e-06,-4.34882e-06-0,-01,10,00,01,10,010,100,0-4.34882e-06,-4.34882e-06-4.34882e-06,-4.34882e-060.0153809,0.0153809-4.34882e-06,-4.34882e-06-0,-01,10,00,01,10,010,100,0-4.34882e-06,-4.34882e-06-4.34882e-06,-4.34882e-060.0153809,0.0153809-4.34882e-06,-4.34882e-06-0,-00.226711,0.2803920.605442,0.2653060.142496,1.824741.61086,1.437130,05.65306,11.88441.70957,1.449210.543716,0.5969750.719668,0.6791670.0092694,0.009850760.309992,0.253553-0.444755,-0.4071370.223292,0.2105320.683824,0.4338240.0154048,2.700811.64225,1.415010,05.63971,11.86031.75989,1.326070.545815,0.6505260.732238,0.7743640.00919878,0.007776180.31129,0.317558-0.428365,-0.2269180.302776,0.2615960.168919,0.2567570.725399,1.703271.61518,1.422710,05.72297,11.82432.30839,1.550220.524347,0.6201370.586722,0.6995360.0133764,0.009689830.127728,0.250869-0.749975,-0.4073930.22949,0.2345920.542857,0.3642860.717178,0.3518511.55566,1.396730,05.65714,11.86431.82531,1.345870.552093,0.6344220.71164,0.7549220.00961077,0.008427730.296209,0.29808-0.480362,-0.2348240,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,0,running
0.933783,0.9339270.0254237,0.0338983-1.03447,-0.01728411.01666,1.016660,07.95763,10.03390.0575266,0.03274920.0725595,0.06428520.0795832,0.07448530.0146066,0.01435740.0514359,0.0642852-0.264033,-0.003397350.945988,0.9636490.0277778,0.0185185-8.3333e+08,7.40738e+081,10,07.97222,10.01850.0270062,0.01817560.0551165,0.04004020.0551165,0.04004020.0145369,0.01481290.0551165,0.040040219262.3,12083.30.95125,0.9672220.025,0.0166667-7.49998e+08,01,0.9999990,07.975,10.01670.024375,0.01638890.0507633,0.03680470.0507633,0.03680470.0146191,0.01486870.0507633,0.036804717069.6,10572.30.945988,0.9636490.0277778,0.0185185-8.3333e+08,7.40738e+081,10,07.97222,10.01850.0270062,0.01817560.0551165,0.04004020.0551165,0.04004020.0145369,0.01481290.0551165,0.040040219262.3,12083.31,10,00,01,10,010,100,0-4.34882e-06,-4.34882e-06-4.34882e-06,-4.34882e-060.0153809,0.0153809-4.34882e-06,-4.34882e-06-0,-01,10,00,01,10,010,100,0-4.34882e-06,-4.34882e-06-4.34882e-06,-4.34882e-060.0153809,0.0153809-4.34882e-06,-4.34882e-06-0,-01,10,00,01,10,010,100,0-4.34882e-06,-4.34882e-06-4.34882e-06,-4.34882e-060.0153809,0.0153809-4.34882e-06,-4.34882e-06-0,-01,10,00,01,10,010,100,0-4.34882e-06,-4.34882e-06-4.34882e-06,-4.34882e-060.0153809,0.0153809-4.34882e-06,-4.34882e-06-0,-00.662222,0.2888890.2,0.4666670.464274,1.432651.62222,1.462220,02.46667,12.61.58222,1.706670.272596,0.5085670.272596,0.6318150.0103809,0.008853080.217313,0.316966-1.267,-0.9612770.4375,0.218751.125,1.75-0.157892,2.466622.1875,1.93750,02.875,121.85938,1.250.466216,0.6020380.466216,0.7241430.00708008,0.00659180.390963,0.466216-0.625145,-0.6336140.46875,0.31250.75,0.75-0.0158727,6.912811.98438,1.359380,02.75,12.251.6875,0.68750.390963,0.4662160.390963,0.6020380.00708008,0.007080080.390963,0.390963-0.649279,-0.65250.506173,0.2098770.111111,0.8888890.5263,1.397031.46914,1.839510,02.77778,11.77781.28395,1.283950.368566,0.636140.368566,0.728280.0122944,0.00612160.151487,0.419065-0.909196,-0.4406610,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,0,running
0.725922,0.9007130.0689655,0.0344828-1.6263,9.139541.07878,1.016940,07.75862,10.0690.355529,0.0986920.233713,0.1026910.233713,0.1026910.0133743,0.01434040.10898,0.0651333-0.721546,-0.8791950.777593,0.9600170.0612245,0.0204082-2.19548,8.16326e+081.05748,10,07.81633,10.02040.272387,0.01999170.198308,0.04325720.198308,0.04325720.0135847,0.01475610.10002,0.0432572-0.74244,13516.20.777778,0.9655280.0350877,00.813673,0.9998481.09418,1.017240,07.78947,10.03510.341644,0.06894430.193662,0.03834810.20422,0.03834810.0143228,0.01538090.0660064,-4.34882e-06-0.602315,-0.9939850.72855,0.8897930.0576923,0.03846151.88626,-2.537251.13018,1.054360,07.75,10.07690.379808,0.1094670.230642,0.1117270.230642,0.1117270.013682,0.01422520.0957837,0.0707916-0.53381,-0.3462780,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,01,10,00,01,10,02,140,0-4.34882e-06,-4.34882e-06-4.34882e-06,-4.34882e-060.0153809,0.0153809-4.34882e-06,-4.34882e-06-0,-00.625,0.6256.25,2.25-0.33333,0.9999925.6875,7.750,03.25,11.754.6875,15.18750.24421,0.244210.24421,0.244210.00952148,0.009521480.24421,0.24421-0.511591,-4.885921,10,00,01,10,02,140,0-4.34882e-06,-4.34882e-06-4.34882e-06,-4.34882e-060.0153809,0.0153809-4.34882e-06,-4.34882e-06-0,-01,10,00,01,10,02,140,0-4.34882e-06,-4.34882e-06-4.34882e-06,-4.34882e-060.0153809,0.0153809-4.34882e-06,-4.34882e-06-0,-00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,0,running
0,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,0,running
0,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00.459184,0.2448983.21429,1.64286-6.17933,6.863081.59694,1.596940,08.5,10.53.53571,3.107140.380431,0.6489890.380431,0.6489890.00820612,0.005336220.283046,0.460749-2.15514,-1.026680.5,0.2346942.57143,1.35714-4.74347,5.905841.59694,1.596940,08.71429,10.35713.4898,2.943880.360656,0.6568280.360656,0.6568280.00900331,0.005655090.259816,0.449309-1.62009,-0.8365310.377778,0.2444441.8,0.80.814804,0.2592543.16,2.440,07.8,11.06676.56,4.728890.438457,0.5916860.493739,0.6469690.0103809,0.01038090.217313,0.217313-0.270547,-0.5877770.42,0.263.6,1.81.53331,-3.341033.25,2.290,08.2,10.83.96,3.160.409678,0.6387420.409678,0.6387420.00788086,0.005380860.292277,0.458133-0.63904,-0.829273,running
0,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00.236046,0.4002081.50323,0.3451610.793733,0.1632973.42415,1.96770,07.45161,10.88067.68974,3.279510.849489,0.5925320.936778,0.6675810.010016,0.01028950.313574,0.264076-0.623201,-0.5093550.223751,0.3860192.49664,0.3322150.460451,0.5613863.48782,1.964010,07.60403,10.84237.00072,3.298470.84719,0.6060560.982816,0.6921020.00837702,0.01028430.398213,0.262142-0.534442,-0.4687480.25128,0.4135072.38065,0.2129030.337641,1.277523.29874,1.906570,07.65806,10.84526.84887,3.434090.800812,0.5763480.882161,0.6237550.00989959,0.01136390.303949,0.208003-0.68291,-0.6235580.227147,0.3859543.02406,0.4398630.0053036,2.022133.14194,1.803490,07.76632,10.76986.23583,3.106910.840631,0.6081720.96072,0.6799060.00804118,0.009617320.413329,0.295898-0.598588,-0.528268,running
